epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.439,0.30259,1,1,0.00578,0.000545182,0.000545182,0.000545182
2,21.925,0.01669,1,1,7e-05,0.00106452,0.00106452,0.00106452
3,33.0825,0.04658,1,1,0.00091,0.00154719,0.00154719,0.00154719
4,43.8215,0.02634,1,1,0.00031,0.00150197,0.00150197,0.00150197
5,54.5672,0.01652,1,1,2e-05,0.00144696,0.00144696,0.00144696
6,65.2569,0.00713,1,1,1e-05,0.00139195,0.00139195,0.00139195
7,76.0049,0.00467,1,1,1e-05,0.00133693,0.00133693,0.00133693
8,86.9462,0.00334,1,1,1e-05,0.00128192,0.00128192,0.00128192
9,98.2819,0.00539,1,1,1e-05,0.00122691,0.00122691,0.00122691
10,109.55,0.01741,1,1,2e-05,0.0011719,0.0011719,0.0011719
11,120.917,0.03407,1,1,0.0031,0.00111689,0.00111689,0.00111689
